sub_id,Site
sub-NDARWY514DEX,CBIC
sub-NDARXB889WUB,CBIC
sub-NDARXD907ZJL,CBIC
sub-NDARXE854EDK,CBIC
sub-NDARXF711LJ9,CBIC
sub-NDARXH140YZ0,CBIC
sub-NDARXK986EK6,CBIC
sub-NDARXR566CDR,CBIC
sub-NDARXT727MD7,CBIC
sub-NDARXV094ZHH,CBIC
sub-NDARXZ902NFM,CBIC
sub-NDARYA030ZG7,CBIC
sub-NDARYK042VMG,CBIC
sub-NDARYM277DEA,CBIC
sub-NDARZB517KTU,CBIC
sub-NDARZE963MEU,CBIC
sub-NDARZF170TZ0,CBIC
sub-NDARZF216KYX,CBIC
sub-NDARZH521MMD,CBIC
sub-NDARZJ587UZU,CBIC
sub-NDARZK601NG9,CBIC
sub-NDARZL799MFW,CBIC
sub-NDARZN677EYE,CBIC
sub-NDARZV421TCZ,CBIC
sub-NDARZW873DN3,CBIC
sub-NDARZX745YLZ,CBIC
